state,org_id,cat_id,records_breached,records_breached_detail,name,total_records,category,entity_type,location,dt,breach_source,breach_type,type,cat_name,company_name,source_type,region,breach_id
,200002865,28,NA,NA,"Triple-S Advantage, Inc. ","36,305",Discharge Data,MED,,2/2/2018,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"Triple-S Advantage, Inc. ",Breaches,,21
,200002872,29,NA,NA,University of Alaska,50,Researcher,EDU,,2/22/2018,Media,HACK,Breaches,Researcher,University of Alaska,Breaches,,22
,200002965,17,NA,NA,Panera Bread,"37,000,000",Payer (Insurer),BSR,,4/3/2018,Media,DISC,Breaches,Payer (Insurer),Panera Bread,Breaches,,23
,200002969,17,NA,NA,Best Buy,1,Payer (Insurer),BSR,,4/6/2018,Media,HACK,Breaches,Payer (Insurer),Best Buy,Breaches,,24
,200002979,17,NA,NA,Taskrabbit,0,Payer (Insurer),BSR,,4/17/2018,Media,HACK,Breaches,Payer (Insurer),Taskrabbit,Breaches,,25
,200003032,15,NA,NA,Orbitz,0,Employer,BSO,,4/20/2018,Security Breach Letter,HACK,Breaches,Employer,Orbitz,Breaches,,26
,200003078,23,NA,NA,"Worldwide Services Insurance Agency, LLC",500,Public Health,MED,,6/1/2018,Security Breach Letter,HACK,Breaches,Public Health,"Worldwide Services Insurance Agency, LLC",Breaches,,27
,200003086,17,NA,NA,T-Mobile,"74,000,000",Payer (Insurer),BSR,,5/24/2018,Media,DISC,Breaches,Payer (Insurer),T-Mobile,Breaches,,28
,200003098,17,NA,NA,MyHeritage,"92,283,900",Payer (Insurer),BSO,,6/4/2018,Media,DISC,Breaches,Payer (Insurer),MyHeritage,Breaches,,29
,200003099,17,NA,NA,PageUp,"2,000,000",Payer (Insurer),BSO,,6/12/2018,Media,HACK,Breaches,Payer (Insurer),PageUp,Breaches,,30
Alabama,200000054,17,NA,NA,Eastern Alliance Insurance Group,23,Payer (Insurer),BSO,Birmingham,2/27/2014,Maryland Attorney General,INSD,Breaches,Payer (Insurer),Eastern Alliance Insurance Group,Breaches,Southeast,45
Alabama,200000120,17,NA,NA,"Sterne, Agee & Leach",0,Payer (Insurer),BSF,Birmingham,6/26/2014,California Attorney General,PORT,Breaches,Payer (Insurer),"Sterne, Agee & Leach",Breaches,Southeast,46
Alabama,200000221,17,NA,NA,American Family Care,0,Payer (Insurer),MED,Birmingham,9/29/2014,PHIPrivacy.net,PORT,Breaches,Payer (Insurer),American Family Care,Breaches,Southeast,47
Alabama,200000470,18,NA,NA,Pathways Professional Counseling,"3,397","Physician, Hospital",MED,Birmingham,11/30/2015,Health IT Security,PORT,Breaches,"Physician, Hospital",Pathways Professional Counseling,Breaches,Southeast,48
Alabama,200000693,23,NA,NA,Locust Fork Pharmacy,"5,000",Public Health,MED,Locust Fork,2/26/2016,Government Agency,DISC,Breaches,Public Health,Locust Fork Pharmacy,Breaches,Southeast,49
Alabama,200000747,23,NA,NA,Surgical Care Affiliates,"9,009",Public Health,MED,Birmingham,5/16/2016,Government Agency,PORT,Breaches,Public Health,Surgical Care Affiliates,Breaches,Southeast,50
Alabama,200000968,23,NA,NA,Public Education Employees' Health Insurance Plan,"1,349",Public Health,MED,Montgomery,9/9/2016,Government Agency,DISC,Breaches,Public Health,Public Education Employees' Health Insurance Plan,Breaches,Southeast,51
Alabama,200001226,28,NA,NA,"Birmingham Printing and Publishing, Inc dba Paper Airplane","1,085",Discharge Data,MED,,1/24/2014,US Department of Health and Human Services,UNKN,Breaches,Discharge Data,"Birmingham Printing and Publishing, Inc dba Paper Airplane",Breaches,Southeast,52
Alabama,200001256,28,NA,NA,"PracMan, Inc.","1,145",Discharge Data,MED,,3/7/2014,US Department of Health and Human Services,HACK,Breaches,Discharge Data,"PracMan, Inc.",Breaches,Southeast,53
Alabama,200001257,28,NA,NA,"PracMan, Inc.","1,179",Discharge Data,MED,,3/10/2014,US Department of Health and Human Services,HACK,Breaches,Discharge Data,"PracMan, Inc.",Breaches,Southeast,54
Alabama,200001312,28,NA,NA,Flowers Hospital,629,Discharge Data,MED,,4/25/2014,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Flowers Hospital,Breaches,Southeast,55
Alabama,200001354,28,NA,NA,D&J Optical Inc.,"1,100",Discharge Data,MED,,7/7/2014,US Department of Health and Human Services,HACK,Breaches,Discharge Data,D&J Optical Inc.,Breaches,Southeast,56
Alabama,200001359,28,NA,NA,"InSync Computer Solutions, Inc.","50,918",Discharge Data,MED,,7/11/2014,US Department of Health and Human Services,UNKN,Breaches,Discharge Data,"InSync Computer Solutions, Inc.",Breaches,Southeast,57
Alabama,200001426,28,NA,NA,"American Family Care, Inc.","2,588",Discharge Data,MED,,9/30/2014,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,"American Family Care, Inc.",Breaches,Southeast,58
Alabama,200001471,28,NA,NA,"Computer Programs and Systems, Inc. ","25,764",Discharge Data,MED,,11/26/2014,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,"Computer Programs and Systems, Inc. ",Breaches,Southeast,59
Alabama,200001715,46,NA,NA,"LTC Dental, P.C.","1,680",Dental and Vision,MED,,10/28/2015,US Department of Health and Human Services,PHYS,Breaches,Dental and Vision,"LTC Dental, P.C.",Breaches,Southeast,60
Alabama,200001726,28,NA,NA,Pathways Professional Counseling,986,Discharge Data,MED,,11/24/2015,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Pathways Professional Counseling,Breaches,Southeast,61
Alabama,200001778,28,NA,NA,Locust Fork Pharmacy,"5,000",Discharge Data,MED,,2/26/2016,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Locust Fork Pharmacy,Breaches,Southeast,62
Alabama,200001915,28,NA,NA,"American Family Care, Inc.","7,200",Discharge Data,MED,,7/25/2016,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"American Family Care, Inc.",Breaches,Southeast,63
Alabama,200001952,28,NA,NA,Public Education Employees' Health Insurance Plan,"1,349",Discharge Data,MED,,9/9/2016,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Public Education Employees' Health Insurance Plan,Breaches,Southeast,64
Alabama,200002011,28,NA,NA,Lister Healthcare,"1,349",Discharge Data,MED,,11/9/2016,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Lister Healthcare,Breaches,Southeast,65
Alabama,200002079,54,NA,NA,"Escambia County Alabama Community Hospitals, Inc. D/B/A Atmore Community Hospital","1,090",Registries,MED,,1/12/2017,US Department of Health and Human Services,DISC,Breaches,Registries,"Escambia County Alabama Community Hospitals, Inc. D/B/A Atmore Community Hospital",Breaches,Southeast,66
Alabama,200002390,28,NA,NA,Sterne Agee,0,Discharge Data,MED,Birmingham,6/30/2014,Maryland Attorney General,HACK,Breaches,Discharge Data,Sterne Agee,Breaches,Southeast,67
Alabama,200002494,28,NA,NA,FastHealth Corporation,"9,289",Discharge Data,MED,,6/29/2017,Maryland Attorney General,HACK,Breaches,Discharge Data,FastHealth Corporation,Breaches,Southeast,68
Alabama,200002562,28,NA,NA,Surgical Dermatology Group,"14,000",Discharge Data,MED,,8/5/2017,US Department of Health and Human Services,HACK,Breaches,Discharge Data,Surgical Dermatology Group,Breaches,Southeast,69
Alabama,200002692,28,NA,NA,Lifestyle Therapy & Coaching,550,Discharge Data,MED,,10/9/2017,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Lifestyle Therapy & Coaching,Breaches,Southeast,70
Alabama,200002883,18,NA,NA,"Jemison Internal Medicine, PC","6,550","Physician, Hospital",MED,Jemison,2/16/2018,Security Breach Letter,HACK,Breaches,"Physician, Hospital","Jemison Internal Medicine, PC",Breaches,Southeast,71
Alabama,200002932,28,NA,NA,"Jemison Internal Medicine, PC","6,550",Discharge Data,MED,,2/16/2018,US Department of Health and Human Services,HACK,Breaches,Discharge Data,"Jemison Internal Medicine, PC",Breaches,Southeast,72
Alabama,200002954,28,NA,NA,FastHealth Corporation,"1,345",Discharge Data,MED,,2/27/2018,US Department of Health and Human Services,HACK,Breaches,Discharge Data,FastHealth Corporation,Breaches,Southeast,73
Alabama,200002987,18,NA,NA,American Esoteric Laboratories,0,"Physician, Hospital",MED,,5/1/2018,Media,HACK,Breaches,"Physician, Hospital",American Esoteric Laboratories,Breaches,Southeast,74
Alaska,200000019,17,NA,NA,Alaska Communications,0,Payer (Insurer),BSR,Anchorage,2/20/2014,Vermont Attorney General,HACK,Breaches,Payer (Insurer),Alaska Communications,Breaches,West,81
Alaska,200001724,28,NA,NA,"Alaska Orthopedic Specialists, Inc.",553,Discharge Data,MED,,11/19/2015,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,"Alaska Orthopedic Specialists, Inc.",Breaches,West,82
Alaska,200002053,28,NA,NA,Southcentral Foundation,"14,719",Discharge Data,MED,,12/16/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,Southcentral Foundation,Breaches,West,83
Alaska,200002481,28,NA,NA,"Alaska Communications Systems Holdings, Inc.",4,Discharge Data,MED,Anchorage,2/24/2014,Maryland Attorney General,HACK,Breaches,Discharge Data,"Alaska Communications Systems Holdings, Inc.",Breaches,West,84
Alaska,200002600,23,NA,NA,Alaska Department of Health and Social Services,0,Public Health,GOV,Anchorage,9/6/2017,Media,HACK,Breaches,Public Health,Alaska Department of Health and Social Services,Breaches,West,85
Alaska,200002617,23,NA,NA,State of Alaska Department of Health and Social Services,,Public Health,MED,,9/1/2017,US Department of Health and Human Services,HACK,Breaches,Public Health,State of Alaska Department of Health and Social Services,Breaches,West,86
Arizona,200000057,17,NA,NA,Gingerbread Shed Corporation,0,Payer (Insurer),BSR,Tempe,5/7/2014,California Attorney General,HACK,Breaches,Payer (Insurer),Gingerbread Shed Corporation,Breaches,Southwest,109
Arizona,200000129,15,NA,NA,Watermark Retirement Communities,0,Employer,BSO,Tuscon,7/3/2014,California Attorney General,PORT,Breaches,Employer,Watermark Retirement Communities,Breaches,Southwest,110
Arizona,200000161,17,NA,NA,PF Chang's,0,Payer (Insurer),BSO,Scottsdale,6/11/2014,Krebs On Security,HACK,Breaches,Payer (Insurer),PF Chang's,Breaches,Southwest,111
Arizona,200000204,17,NA,NA,Yandy.com,0,Payer (Insurer),BSR,Phoenix,9/5/2014,California Attorney General,HACK,Breaches,Payer (Insurer),Yandy.com,Breaches,Southwest,112
Arizona,200000317,49,NA,NA,LeapLab,0,Debt Collection,BSO,Chandler,12/29/2014,Krebs On Security,INSD,Breaches,Debt Collection,LeapLab,Breaches,Southwest,113
Arizona,200000441,17,NA,NA,Streets of New York,200,Payer (Insurer),BSO,Phoenix,10/13/2015,Media,HACK,Breaches,Payer (Insurer),Streets of New York,Breaches,Southwest,114
Arizona,200000495,18,NA,NA,Matson Navigation Company (Horizon Lines),0,"Physician, Hospital",BSO,Phoenix,12/23/2015,California Attorney General,PORT,Breaches,"Physician, Hospital",Matson Navigation Company (Horizon Lines),Breaches,Southwest,115
Arizona,200000537,22,NA,NA,McFadden,0,Law Firms,BSO,Glendale,1/6/2016,Media,CARD,Breaches,Law Firms,McFadden,Breaches,Southwest,116
Arizona,200000589,15,NA,NA,Sprouts Farmers Market,0,Employer,BSO,Phoenix,3/28/2016,California Attorney General,HACK,Breaches,Employer,Sprouts Farmers Market,Breaches,Southwest,117
Arizona,200000749,23,NA,NA,Emergency Room Associates dba- Emergency Medicine Associates,"1,067",Public Health,MED,Tuscon,5/19/2016,Government Agency,PHYS,Breaches,Public Health,Emergency Room Associates dba- Emergency Medicine Associates,Breaches,Southwest,118
Arizona,200000839,18,NA,NA,Valley Anesthesiology & Pain Consultants,0,"Physician, Hospital",MED,Phoenix,8/12/2016,California Attorney General,HACK,Breaches,"Physician, Hospital",Valley Anesthesiology & Pain Consultants,Breaches,Southwest,119
Arizona,200000868,23,NA,NA,Arizona State Board of Elections,0,Public Health,GOV,Phoenix,8/30/2016,Media,HACK,Breaches,Public Health,Arizona State Board of Elections,Breaches,Southwest,120
Arizona,200000922,23,NA,NA,Juame Francisco D.O.,"14,236",Public Health,MED,Prescott,10/4/2016,Government Agency,HACK,Breaches,Public Health,Juame Francisco D.O.,Breaches,Southwest,121
Arizona,200001077,15,NA,NA,DBM Global,0,Employer,BSO,Phoenix,2/2/2017,California Attorney General,PORT,Breaches,Employer,DBM Global,Breaches,Southwest,122
Arizona,200001097,18,NA,NA,Catalina Post-Acute and Rehabilitation,"2,953","Physician, Hospital",MED,Tucson,2/23/2017,California Attorney General,PHYS,Breaches,"Physician, Hospital",Catalina Post-Acute and Rehabilitation,Breaches,Southwest,123
Arizona,200001098,18,NA,NA,Dignity Health St. Joseph's Hospital and Medical Center,600,"Physician, Hospital",MED,Phoenix,2/23/2017,Media,INSD,Breaches,"Physician, Hospital",Dignity Health St. Joseph's Hospital and Medical Center,Breaches,Southwest,124
Arizona,200001265,28,NA,NA,Hospitalists of Arizona,"1,706",Discharge Data,MED,,3/16/2014,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Hospitalists of Arizona,Breaches,Southwest,125
Arizona,200001369,28,NA,NA,"Urological Associates of Southern Arizona, P.C.","3,529",Discharge Data,MED,,7/25/2014,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,"Urological Associates of Southern Arizona, P.C.",Breaches,Southwest,126
Arizona,200001371,23,NA,NA,"PRN Medical Services, LLC dba Symbius Medical, LLC","13,877",Public Health,MED,,7/29/2014,US Department of Health and Human Services,DISC,Breaches,Public Health,"PRN Medical Services, LLC dba Symbius Medical, LLC",Breaches,Southwest,127
Arizona,200001461,28,NA,NA,Colorado River Indian Tribes,"1,296",Discharge Data,MED,,11/14/2014,US Department of Health and Human Services,UNKN,Breaches,Discharge Data,Colorado River Indian Tribes,Breaches,Southwest,128
Arizona,200001478,28,NA,NA,"District Medical Group, Privacy Manager Breach",616,Discharge Data,MED,,12/12/2014,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"District Medical Group, Privacy Manager Breach",Breaches,Southwest,129
Arizona,200001639,28,NA,NA,Maricopa Special  Health Care District - Maricopa Integrated Health System,633,Discharge Data,MED,,7/14/2015,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Maricopa Special  Health Care District - Maricopa Integrated Health System,Breaches,Southwest,130
Arizona,200001687,28,NA,NA,Skin and Cancer Center of Arizona,"3,311",Discharge Data,MED,,9/21/2015,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Skin and Cancer Center of Arizona,Breaches,Southwest,131
Arizona,200001689,28,NA,NA,Sunquest Information Systems,"2,100",Discharge Data,MED,,9/24/2015,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Sunquest Information Systems,Breaches,Southwest,132
Arizona,200001733,28,NA,NA,Camelback Women's Health,810,Discharge Data,MED,,12/3/2015,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Camelback Women's Health,Breaches,Southwest,133
Arizona,200001862,28,NA,NA,Emergency Room Associates doing business as Emergency Medicine Associates,"1,067",Discharge Data,MED,,5/19/2016,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Emergency Room Associates doing business as Emergency Medicine Associates,Breaches,Southwest,134
Arizona,200001918,28,NA,NA,"Athletes' Performance Los Angeles, LLC",854,Discharge Data,MED,,7/28/2016,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,"Athletes' Performance Los Angeles, LLC",Breaches,Southwest,135
Arizona,200001929,28,NA,NA,"Valley Anesthesiology Consultants, Inc. d/b/a Valley Anesthesiology and Pain Consultants","882,590",Discharge Data,MED,,8/12/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,"Valley Anesthesiology Consultants, Inc. d/b/a Valley Anesthesiology and Pain Consultants",Breaches,Southwest,136
Arizona,200001978,28,NA,NA,"Francisco Jaume, D.O.","14,236",Discharge Data,MED,,10/4/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,"Francisco Jaume, D.O.",Breaches,Southwest,137
Arizona,200001992,28,NA,NA,"MGA Home Healthcare Colorado, Inc.","3,119",Discharge Data,MED,,10/19/2016,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,"MGA Home Healthcare Colorado, Inc.",Breaches,Southwest,138
Arizona,200002017,28,NA,NA,The Biomechanics LLC,"1,049",Discharge Data,MED,,11/16/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,The Biomechanics LLC,Breaches,Southwest,139
Arizona,200002029,28,NA,NA,"LCS Westminster Partnership IV, LLP d/b/a Sagewood",863,Discharge Data,MED,,11/22/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,"LCS Westminster Partnership IV, LLP d/b/a Sagewood",Breaches,Southwest,140
Arizona,200002058,28,NA,NA,Desert Care Family and Sports Medicine,500,Discharge Data,MED,,12/20/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,Desert Care Family and Sports Medicine,Breaches,Southwest,141
Arizona,200002097,28,NA,NA,Catalina Post-Acute Care and Rehabilitation,"2,953",Discharge Data,MED,,2/2/2017,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Catalina Post-Acute Care and Rehabilitation,Breaches,Southwest,142
Arizona,200002101,28,NA,NA,"Bloom Physical Therapy, LLC dba Physicians Physical Therapy Service",500,Discharge Data,MED,,2/9/2017,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"Bloom Physical Therapy, LLC dba Physicians Physical Therapy Service",Breaches,Southwest,143
Arizona,200002103,18,NA,NA,St. Joseph's Hospital and Medical Center,623,"Physician, Hospital",MED,,2/13/2017,US Department of Health and Human Services,DISC,Breaches,"Physician, Hospital",St. Joseph's Hospital and Medical Center,Breaches,Southwest,144
Arizona,200002120,28,NA,NA,Saliba's Extended Care Pharmacy,"6,599",Discharge Data,MED,,3/3/2017,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Saliba's Extended Care Pharmacy,Breaches,Southwest,145
Arizona,200002178,51,NA,NA,The Arizona Department of Health Services,"2,500",Social Services,MED,Phoenix,5/26/2017,Media,PHYS,Breaches,Social Services,The Arizona Department of Health Services,Breaches,Southwest,146
Arizona,200002324,28,NA,NA,Yandy.com,941,Discharge Data,MED,Phoenix,9/9/2014,Maryland Attorney General,HACK,Breaches,Discharge Data,Yandy.com,Breaches,Southwest,147
Arizona,200002359,28,NA,NA,P. F. Chang's China Bistro,0,Discharge Data,MED,Scottsdale,8/1/2014,Maryland Attorney General,HACK,Breaches,Discharge Data,P. F. Chang's China Bistro,Breaches,Southwest,148
Arizona,200002564,28,NA,NA,Northwest Rheumatology,"7,468",Discharge Data,MED,,7/31/2017,US Department of Health and Human Services,HACK,Breaches,Discharge Data,Northwest Rheumatology,Breaches,Southwest,149
Arizona,200002619,28,NA,NA,Adult Internal Medicine of North Scottsdale,"11,798",Discharge Data,MED,,9/1/2017,US Department of Health and Human Services,HACK,Breaches,Discharge Data,Adult Internal Medicine of North Scottsdale,Breaches,Southwest,150
Arizona,200002655,28,NA,NA,PCA Skin,,Discharge Data,MED,Scottsdale,2/23/2017,Maryland Attorney General,HACK,Breaches,Discharge Data,PCA Skin,Breaches,Southwest,151
Arizona,200002675,28,NA,NA,"MGA Home Healthcare Colorado, Inc.","2,898",Discharge Data,MED,,10/25/2017,US Department of Health and Human Services,HACK,Breaches,Discharge Data,"MGA Home Healthcare Colorado, Inc.",Breaches,Southwest,152
Arizona,200002852,52,NA,NA,Valley of the Sun YMCA,"2,649",Education,NGO,Phoenix,1/17/2018,Security Breach Letter,HACK,Breaches,Education,Valley of the Sun YMCA,Breaches,Southwest,153
Arizona,200002874,17,NA,NA,"PetSmart, Inc.","1,434",Payer (Insurer),BSR,Phoenix,1/10/2018,Security Breach Letter,HACK,Breaches,Payer (Insurer),"PetSmart, Inc.",Breaches,Southwest,154
Arizona,200003043,28,NA,NA,"Echo Canyon Healthcare, Incorporated dba Heritage Court Post Acute of Scottsdale","1,765",Discharge Data,MED,,5/21/2018,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,"Echo Canyon Healthcare, Incorporated dba Heritage Court Post Acute of Scottsdale",Breaches,Southwest,155
Arizona,200003100,18,NA,NA,Terros Health,"1,600","Physician, Hospital",MED,Phoenix,6/12/2018,Media,DISC,Breaches,"Physician, Hospital",Terros Health,Breaches,Southwest,156
Arkansas,200000111,29,NA,NA,Arkansas State University College of Education and Behavioral Science's Department of Childhood Services,"50,000",Researcher,EDU,Jonesboro,5/30/2014,Media,HACK,Breaches,Researcher,Arkansas State University College of Education and Behavioral Science's Department of Childhood Services,Breaches,Southeast,163
Arkansas,200000684,23,NA,NA,"Cardiology Associates of Jonesboro, Inc.","1,669",Public Health,MED,Jonesboro,3/4/2016,Government Agency,DISC,Breaches,Public Health,"Cardiology Associates of Jonesboro, Inc.",Breaches,Southeast,164
Arkansas,200000744,23,NA,NA,Employee Benefits Division,"2,602",Public Health,MED,Little Rock,5/12/2016,Government Agency,DISC,Breaches,Public Health,Employee Benefits Division,Breaches,Southeast,165
Arkansas,200000752,23,NA,NA,"WalMart Stores, Inc.","27,393",Public Health,MED,Bentonville,6/8/2016,Government Agency,DISC,Breaches,Public Health,"WalMart Stores, Inc.",Breaches,Southeast,166
Arkansas,200000757,23,NA,NA,Pain Treatment Centers of America/Interventional Surgery Institute,"19,397",Public Health,MED,Little Rock,4/11/2016,Government Agency,HACK,Breaches,Public Health,Pain Treatment Centers of America/Interventional Surgery Institute,Breaches,Southeast,167
Arkansas,200000763,23,NA,NA,ENT & Allergy Center,"16,200",Public Health,MED,Fayetteville,6/1/2016,Government Agency,HACK,Breaches,Public Health,ENT & Allergy Center,Breaches,Southeast,168
Arkansas,200000829,23,NA,NA,Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,"17,100",Public Health,MED,Little Rock,7/11/2016,Government Agency,HACK,Breaches,Public Health,Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,Breaches,Southeast,169
Arkansas,200000920,23,NA,NA,Baxter Regional Medical Center- Home Health Facility,"2,124",Public Health,MED,Moutain Home,10/5/2016,Government Agency,DISC,Breaches,Public Health,Baxter Regional Medical Center- Home Health Facility,Breaches,Southeast,170
Arkansas,200001640,17,NA,NA,Arkansas Blue Cross and Blue Shield,560,Payer (Insurer),MED,,7/14/2015,US Department of Health and Human Services,PHYS,Breaches,Payer (Insurer),Arkansas Blue Cross and Blue Shield,Breaches,Southeast,171
Arkansas,200001693,28,NA,NA,Baptist Health and Arkansas Health Group,"6,500",Discharge Data,MED,,10/1/2015,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Baptist Health and Arkansas Health Group,Breaches,Southeast,172
Arkansas,200001703,28,NA,NA,"Nephropathology Associates, PLC","1,260",Discharge Data,MED,,10/16/2015,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"Nephropathology Associates, PLC",Breaches,Southeast,173
Arkansas,200001787,28,NA,NA,"Walmart Stores, Inc.","4,800",Discharge Data,MED,,3/1/2016,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"Walmart Stores, Inc.",Breaches,Southeast,174
Arkansas,200001790,28,NA,NA,"Cardiology Associates of Jonesboro, Inc.","1,669",Discharge Data,MED,,3/4/2016,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"Cardiology Associates of Jonesboro, Inc.",Breaches,Southeast,175
Arkansas,200001822,28,NA,NA,Pain Treatment Centers of America,"19,397",Discharge Data,MED,,4/11/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,Pain Treatment Centers of America,Breaches,Southeast,176
Arkansas,200001855,23,NA,NA,Pulaski County Special School District-Employee Benefits Division,"2,602",Public Health,MED,,5/12/2016,US Department of Health and Human Services,DISC,Breaches,Public Health,Pulaski County Special School District-Employee Benefits Division,Breaches,Southeast,177
Arkansas,200001873,28,NA,NA,ENT and Allergy Center,"16,200",Discharge Data,MED,,5/31/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,ENT and Allergy Center,Breaches,Southeast,178
Arkansas,200001880,28,NA,NA,"Wal-Mart Stores, Inc.","27,393",Discharge Data,MED,,6/8/2016,US Department of Health and Human Services,DISC,Breaches,Discharge Data,"Wal-Mart Stores, Inc.",Breaches,Southeast,179
Arkansas,200001899,28,NA,NA,Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,"17,100",Discharge Data,MED,,7/11/2016,US Department of Health and Human Services,HACK,Breaches,Discharge Data,Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,Breaches,Southeast,180
